Total supply:  1000
############## Round 0 ##############
Account: 0x3ae8132E9079E4fc0A6bCF0346cD609D53F823C4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1399096265666313300, Bid count: 0
Account: 0xF52df545056A13494131156565f625Ef0BA97A29, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1505419430209137000, Bid count: 0
Account: 0x426ecdd5A1AcfFD3ac766942Edce0E25a036bf2D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1522404328141041800, Bid count: 0
Account: 0xd0435dF4AC23C2159062488Fa4F2638F8a259DfB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2264909635987437000, Bid count: 0
Account: 0x0149e50a6A169F3E5003F502f7bdF4222a213F87, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1958362253997700000, Bid count: 0
Account: 0x8722b294b692CbFdFc0b58D156d3608Abd47EB45, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2434314068013232000, Bid count: 0
Account: 0x2760F71145c7b462Fe3cDE05E4d96AE4C701C239, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2080231349512094800, Bid count: 0
Account: 0x6D08f5D8c659E707730aA29e31095f885FbB8085, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1945512027289676200, Bid count: 0
Account: 0xf3D0313Fb544E19B740a47e82093edAB2005ad88, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2493334131575018400, Bid count: 0
Account: 0x4eca9f5D20010c2FdF83234A4A9246f6A4854aa4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1705304368354200000, Bid count: 0
Account: 0x14ef0488Ac7783F83DB769C694eB9545a36e2106, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2224088835722927400, Bid count: 0
Account: 0x01020dd5F49Ee49BfD19FCD6800E5415FDd2056F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2508315914800383000, Bid count: 0
Account: 0x87Bae71c68e8B63c9CD35cB7DAae74C0328C89Ef, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2179382756736890000, Bid count: 0
Account: 0xaBD81E3590f6FADEE39C310feE8046D89b8f503F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1038947515234157600, Bid count: 0
Account: 0xA7F00eC62f44d002F67efb8A053e981e390D2AD7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1882108982710194700, Bid count: 0
Account: 0x828469c5108304fd713eEc5f6796f5151Df6D83c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1492197797266681300, Bid count: 0
Account: 0xD2c95144Ddb105613506fCcBDb4ef49d61019663, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2048329506987397000, Bid count: 0
Account: 0xF8A786C64A1fFf707e300d4D22095C5e6A986b21, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1643425343644742100, Bid count: 0
Account: 0x8E6b158254c354b58d159bDFb403150e7d7560D0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1952314601536933300, Bid count: 0
Account: 0x96Ba927E604308C1c973bcE928c31a5a606aDb19, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2211803892134997600, Bid count: 0
Account: 0x80b538a0950ABb5aEc9B18Daa9fF159c229d2c39, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1970701527771216500, Bid count: 0
Account: 0x5602FfF61f44Eb89daAD98faD227eF61cAC047A8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3236271312347294600, Bid count: 0
