Total supply:  1000
############## Round 0 ##############
Account: 0xB113f24F2898512732Fd6891bC845bA3f87d6D2d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2753101158837258500, Bid count: 0
Account: 0x6D7052BC05FbD04D447FB79516d677A8c34b0D4b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1489710245020211300, Bid count: 0
Account: 0x2Dda4A67584b02FC976f6264062c23207a1A7133, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2254338681535987400, Bid count: 0
Account: 0xFdc0584CB6f1989580D9C29d09Bb8Aa55f0D28df, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2974123237854839000, Bid count: 0
Account: 0x0c591a9eAC413de0561FB968C3cAd45dE57AF39C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2188706821749672600, Bid count: 0
Account: 0xb8B899367D391e6609d4FA4A18Fc15c79a574DEe, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2451071165098564000, Bid count: 0
Account: 0x9e5CC93bF0448C439A9b9B23d359De7c1D42298c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2164062229974880000, Bid count: 0
Account: 0xcf634909Cd22A2ADf1177Db10194bFBdd0593560, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3863501553255659400, Bid count: 0
Account: 0x10A14330630dfE742Ed2fA7645a3D6244c63fd64, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4329708906101523000, Bid count: 0
Account: 0xA320C4Db97046Dfbc9fBBf39236c6E4cd6bA8960, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1516400738978792600, Bid count: 0
Account: 0xE176735344c69832d29985F9Bab908543fcb3310, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2280669016227919500, Bid count: 0
Account: 0x248e174739E1be9eF2df999CAeB0c41B485a7B98, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2524568443909107600, Bid count: 0
Account: 0x51d11b55F10ec6619eF2C5F7F88A9F65A8C89fca, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1774705055090521700, Bid count: 0
Account: 0x758B8186eB34E2c89C25516D7A5A2633C124146f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2752030386992310600, Bid count: 0
Account: 0x7DA8bDA07780094d146aC6746777D0fC39507feF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2391583565059441300, Bid count: 0
Account: 0x0757F019570D84e71Fa6Beb7196CC815B6Ab8445, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1412055048774282700, Bid count: 0
Account: 0x77FBae5aEab572e66D23C8d60Dd4fCCDc075fF07, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2899413299048627700, Bid count: 0
Account: 0x57a6C222A36C272c55CDFed56a9F7273Af739FF7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2695618688408951000, Bid count: 0
Account: 0x80De29D1fF550AE896AD9300EF30C0d7d8F7f791, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3598309831188106800, Bid count: 0
Account: 0xd2D601E35CACE365725559E72d38a1Df44bD660c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1653569604721944400, Bid count: 0
Account: 0x197e2586F4d1C3D261A3194eD58226E2CC491795, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1836529425311059000, Bid count: 0
Account: 0xA4F0F75f9C83D4Db2297270815f09524b5ba988c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2012329314787238300, Bid count: 0
Account: 0x5B15D6719DA53d3fDA18896948376F772F2F1be1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1687350274586332700, Bid count: 0
Account: 0x95C11Cc687829097FD4a592Ab38F611fB1F54A0A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2042201836117046000, Bid count: 0
Account: 0xAD49544eaC3eB3Bd62c8d47603ad210cF60a371b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1508908437178373400, Bid count: 0
