Total supply:  1000
############## Round 0 ##############
Account: 0x670e022b5c77e055b2D8D4191CE11BE08422F13f, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1952783605245338400, Bid count: 0
Account: 0x4aFF7768AF37CF20Fce841bec4Dfe171130fd478, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3060354881331456500, Bid count: 0
Account: 0x49F7dE5C68C7AAAb5C305102AC3e31a6790f2604, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1632119897162426400, Bid count: 0
Account: 0x6c9BDCED483B69959a329a05C898005AD666D367, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3390917675313948700, Bid count: 0
Account: 0xb23fBD9EB2FBB208b5Ff6c2c2704f005eDCeEdA4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2819590503619801000, Bid count: 0
Account: 0xd26D8203EE9e7B359600526BEb64B1c47bA4180B, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1969148462135515800, Bid count: 0
Account: 0xAFF3dE5F81b84e72fc65118e9209f5B8e70068dd, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3892423384097206000, Bid count: 0
Account: 0xF9a943a77f68DdE6663acf6d0f4D406ddDbBd6Ed, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3508168219795458200, Bid count: 0
Account: 0xd785897Aa618bE375869918015BD5b6a278a879A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2032513375760494000, Bid count: 0
Account: 0x123Ac408D2ec464439e51bd9aA80D7a3697A25E2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3943930650677593500, Bid count: 0
Account: 0x101011788047D665E233591fFc2e8F95bcDA99d1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2175182664017805000, Bid count: 0
Account: 0x15dF3D48241A236a6fff201c4E79Df6129a6CD60, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4510763836850048000, Bid count: 0
Account: 0x742f5914a9137E38C4624dA758c25A0FB7EC062d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2418820861003597500, Bid count: 0
Account: 0xe67539400697bf7F86FD622567cdaf89e83485B5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3531982107915585500, Bid count: 0
Account: 0x6B4Db9B2767f0B39f8a9c014089b0A131dA0f19E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1789444176240792200, Bid count: 0
Account: 0x27DE99F87f4e12270B7fd338Eb10A898556a12b0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2709382483568116000, Bid count: 0
Account: 0x590A44Af96174DB8797CE12494376789F542A1d8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2617632045539793000, Bid count: 0
Account: 0xd10973E5EeaBE360D5168DfB2E20078f3EA415Ce, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3174765217055850000, Bid count: 0
Account: 0xe1f94421B387CD782e30954b7dbcFF436116E8ba, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3422366725735632000, Bid count: 0
Account: 0x19C4f254083D8d2de9FB4f98E2B34623C7136fF5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2610774935620052000, Bid count: 0
